title,vote_average,adult,genres,spoken_languages
The Usual Suspects,8.195,False,"Drama, Crime, Thriller","Spanish, English, French, Hungarian"
Zodiac,7.5,False,"Crime, Drama, Mystery, Thriller",English
Mr. & Mrs. Smith,6.677,False,"Action, Comedy, Drama, Thriller","English, Spanish"
Kingsman: The Golden Circle,6.972,False,"Action, Adventure, Comedy","Swedish, English, Italian"
Jaws,7.659,False,"Horror, Thriller, Adventure",English
Night at the Museum,6.6,False,"Action, Adventure, Comedy, Family, Fantasy","English, Italian, Hebrew"
Insurgent,6.361,False,"Action, Adventure, Science Fiction, Thriller",English
A Beautiful Mind,7.851,False,"Drama, Romance",English
Soul,8.15,False,"Animation, Family, Comedy, Fantasy, Drama",English
Aladdin,7.114,False,"Adventure, Fantasy, Romance, Family",English
Dune,7.789,False,"Science Fiction, Adventure","Mandarin, English"
"Three Billboards Outside Ebbing, Missouri",8.081,False,"Crime, Drama",English
X2,7.029,False,"Adventure, Action, Science Fiction","English, German, Italian"
The Mask,6.937,False,"Romance, Comedy, Crime, Fantasy","Swedish, English"
Miss Peregrine's Home for Peculiar Children,6.822,False,"Fantasy, Adventure",English
Troy,7.146,False,"Adventure, History, War, Action",English
(500) Days of Summer,7.272,False,"Comedy, Drama, Romance","English, French, Swedish"
Braveheart,7.932,False,"Action, Drama, History, War","English, French, Latin, Gaelic"
The Lion King,7.1,False,"Adventure, Drama, Family",English
Star Trek,7.432,False,"Science Fiction, Action, Adventure",English
Indiana Jones and the Last Crusade,7.847,False,"Adventure, Action","Arabic, English, German, Greek"
Black Widow,7.303,False,"Action, Adventure, Science Fiction","English, Russian"
Psycho,8.437,False,"Horror, Drama, Thriller",English
Beauty and the Beast,7.734,False,"Romance, Family, Animation, Fantasy","French, English"
Murder on the Orient Express,6.706,False,"Mystery, Drama, Crime","German, English, Arabic, French"
Men in Black II,6.359,False,"Action, Adventure, Comedy, Science Fiction",English
Bird Box,6.854,False,"Horror, Thriller, Drama",English
Mission: Impossible - Ghost Protocol,7.069,False,"Action, Thriller, Adventure","English, Russian, French, Arabic, Swedish"
The Fast and the Furious,6.965,False,"Action, Crime, Thriller",English
Zack Snyder's Justice League,8.19,False,"Action, Adventure, Fantasy",English
Venom: Let There Be Carnage,6.833,False,"Science Fiction, Action, Adventure","Spanish, English"
Requiem for a Dream,8.027,False,"Crime, Drama",English
The Pursuit of Happyness,7.9,False,Drama,"English, Cantonese"
The Matrix Revolutions,6.71,False,"Adventure, Action, Thriller, Science Fiction","English, French"
Toy Story 4,7.5,False,"Family, Adventure, Animation, Comedy, Fantasy",English
Ice Age: The Meltdown,6.688,False,"Animation, Family, Comedy, Adventure",English
Godzilla vs. Kong,7.661,False,"Action, Science Fiction, Thriller",English
Frozen II,7.272,False,"Family, Animation, Adventure, Comedy, Fantasy",English
Star Wars: The Rise of Skywalker,6.365,False,"Adventure, Action, Science Fiction",English
Into the Wild,7.81,False,"Adventure, Drama","Danish, English"
Trainspotting,8.0,False,"Drama, Crime",English
X-Men: The Last Stand,6.406,False,"Adventure, Action, Science Fiction, Thriller",English
The Wolverine,6.396,False,"Action, Science Fiction, Adventure, Fantasy","English, Japanese"
Hidden Figures,8.058,False,"Drama, History",English
Hancock,6.345,False,"Fantasy, Action","English, Japanese"
How to Train Your Dragon 2,7.673,False,"Fantasy, Action, Adventure, Animation, Comedy, Family",English
Mulan,7.915,False,"Animation, Family, Adventure","English, Mandarin"
Snowpiercer,6.902,False,"Action, Science Fiction, Drama","English, French, Japanese, Korean"
Sonic the Hedgehog,7.345,False,"Action, Science Fiction, Comedy, Family",English
Independence Day,6.868,False,"Action, Adventure, Science Fiction",English
Million Dollar Baby,7.958,False,Drama,"Irish, English"
The Greatest Showman,7.908,False,Drama,English
Shazam!,7.034,False,"Action, Comedy, Fantasy",English
Fantastic Four,5.775,False,"Action, Adventure, Fantasy, Science Fiction",English
Aliens,7.933,False,"Action, Thriller, Science Fiction",English
Tenet,7.191,False,"Action, Thriller, Science Fiction","English, Estonian"
Jojo Rabbit,8.042,False,"Comedy, War, Drama","English, German"
District 9,7.423,False,Science Fiction,"Afrikaans, Chichewa; Nyanja, Sotho, Xhosa, Zulu, English"
Howl's Moving Castle,8.402,False,"Fantasy, Animation, Adventure",Japanese
Room,8.033,False,"Drama, Thriller",English
Home Alone 2: Lost in New York,6.705,False,"Comedy, Family, Adventure","English, French"
The Da Vinci Code,6.721,False,"Thriller, Mystery","English, French, Latin, Spanish"
The Bourne Identity,7.463,False,"Action, Drama, Mystery, Thriller","English, French, German, Dutch, Italian"
The Twilight Saga: New Moon,6.003,False,"Adventure, Fantasy, Drama, Romance","English, Italian"
Encanto,7.63,False,"Animation, Comedy, Family, Fantasy","Spanish, English"
Unbreakable,7.134,False,"Thriller, Drama, Mystery",English
Star Trek Into Darkness,7.328,False,"Action, Adventure, Science Fiction",English
The Batman,7.705,False,"Crime, Mystery, Thriller",English
A Bug's Life,6.969,False,"Adventure, Animation, Comedy, Family",English
xXx: Return of Xander Cage,6.138,False,"Action, Adventure, Crime",English
Cruella,8.055,False,"Comedy, Crime","English, French"
Indiana Jones and the Temple of Doom,7.294,False,"Adventure, Action","Mandarin, English, Sinhalese"
Watchmen,7.333,False,"Action, Mystery, Science Fiction",English
The Nightmare Before Christmas,7.841,False,"Fantasy, Animation, Family",English
Shang-Chi and the Legend of the Ten Rings,7.589,False,"Action, Adventure, Fantasy","English, Mandarin"
Alita: Battle Angel,7.219,False,"Action, Science Fiction, Adventure","English, Spanish"
365 Days,7.063,False,"Romance, Drama","English, French, Italian, Polish"
Godzilla,6.289,False,"Action, Drama, Science Fiction","English, Japanese, Tagalog"
The Twilight Saga: Breaking Dawn - Part 2,6.468,False,"Adventure, Fantasy, Drama, Romance",English
The Pianist,8.382,False,"Drama, War","English, Polish, German, Russian"
Saw,7.4,False,"Horror, Mystery, Crime",English
The Mummy,6.906,False,"Adventure, Action, Fantasy","English, Arabic"
The Big Short,7.344,False,"Comedy, Drama",English
Shrek the Third,6.287,False,"Fantasy, Adventure, Animation, Comedy, Family",English
Snatch,7.801,False,"Crime, Comedy","English, Russian"
We're the Millers,6.814,False,"Comedy, Crime",English
The Twilight Saga: Breaking Dawn - Part 1,6.201,False,"Adventure, Fantasy, Romance","English, Portuguese"
The Twilight Saga: Eclipse,6.214,False,"Adventure, Fantasy, Drama, Romance",English
